Month,Monthly Additions,Monthly Deletions,Monthly Change
2012-07-01,15159,6351,21510
2012-08-01,32820,15812,48632
2012-09-01,54788,24904,79692
2012-10-01,24868,15033,39901
2012-11-01,41174,20364,61538
2012-12-01,8587,6178,14765
2013-01-01,25563,16198,41761
2013-02-01,16794,5564,22358
2013-03-01,43004,19407,62411
2013-04-01,35151,14857,50008
2013-05-01,20684,13390,34074
2013-06-01,11683,8300,19983
2013-07-01,16482,33334,49816
2013-08-01,57093,34162,91255
2013-09-01,21006,16663,37669
2013-10-01,30978,21948,52926
2013-11-01,40337,22815,63152
2013-12-01,73161,22888,96049
2014-01-01,10675,7777,18452
2014-02-01,48476,20386,68862
2014-03-01,20268,14942,35210
2014-04-01,61719,38819,100538
2014-05-01,42064,15385,57449
2014-06-01,19507,9733,29240
2014-07-01,33591,12661,46252
2014-08-01,29266,16498,45764
2014-09-01,17751,10239,27990
2014-10-01,58612,23072,81684
2014-11-01,21865,10297,32162
2014-12-01,38746,25125,63871
2015-01-01,2466589,45466,2512055
2015-02-01,92768,13892,106660
2015-03-01,42171,30550,72721
2015-04-01,41804,31953,73757
2015-05-01,47376,22952,70328
2015-06-01,5827,2694,8521
2015-07-01,24823,11814,36637
2015-08-01,42128,31490,73618
2015-09-01,35931,26568,62499
2015-10-01,13877,7645,21522
2015-11-01,33758,15174,48932
2015-12-01,32737,13810,46547
2016-01-01,32233,18209,50442
2016-02-01,55706,21262,76968
2016-03-01,51708,22175,73883
2016-04-01,43041,29043,72084
2016-05-01,14164,7644,21808
2016-06-01,8206,5042,13248
2016-07-01,3184,2536,5720
2016-08-01,24711,12417,37128
2016-09-01,9273,6712,15985
2016-10-01,10712,5492,16204
2016-11-01,6040,3686,9726
2016-12-01,12771,5304,18075
2017-01-01,6519,3147,9666
2017-02-01,8407,3454,11861
2017-03-01,12253,8129,20382
2017-04-01,8033,6803,14836
2017-05-01,20560,8893,29453
2017-06-01,32945,13511,46456
2017-07-01,7912,4229,12141
2017-08-01,5876,2982,8858
2017-09-01,3885,498531,502416
2017-10-01,7125,4640,11765
2017-11-01,2149,1315,3464
2017-12-01,4432,2088,6520
2018-01-01,6315,3425,9740
2018-02-01,5265,1772,7037
2018-03-01,3156,1705,4861
2018-04-01,3894,2627,6521
2018-05-01,2710,2052,4762
2018-06-01,3024,1731,4755
2018-07-01,3383,1079,4462
2018-08-01,4852,2312,7164
2018-09-01,4539,1429,5968
2018-10-01,2128,1270,3398
2018-11-01,5182,4180,9362
2018-12-01,2274,1085,3359
2019-01-01,3393,1871,5264
2019-02-01,5076,1912,6988
2019-03-01,1769,417,2186
2019-04-01,4990,2953,7943
2019-05-01,10255,19648,29903
2019-06-01,6203,3074,9277
2019-07-01,3973,4539,8512
2019-08-01,133202,143394,276596
2019-09-01,4252,3025,7277
2019-10-01,10246,9848,20094
2019-11-01,6201,3634,9835
2019-12-01,9617,5365,14982
2020-01-01,12822,7851,20673
2020-02-01,21760,13477,35237
2020-03-01,6601,3852,10453
2020-04-01,5831,4730,10561
2020-05-01,13345,9666,23011
2020-06-01,9259,6100,15359
2020-07-01,3621,2193,5814
2020-08-01,14121,9291,23412
2020-09-01,8674,10948,19622
2020-10-01,4794,12378,17172
2020-11-01,5356,1633,6989
2020-12-01,2032,711,2743
2021-01-01,8729,5722,14451
2021-02-01,10809,5033,15842
2021-03-01,11394,5538,16932
2021-04-01,13134,8733,21867
2021-05-01,11866,7565,19431
2021-06-01,12392,7378,19770
2021-07-01,13070,8634,21704
